country,GID_0,ISO_3,region,subregion,ID,ghm,Built1994,Built2009,HFP1993,HFP1993_int,HFP2009,HFP2009_int,Lights1994,Lights2009,NavWater1994,NavWater2009,Pasture1993,Pasture2009,Popdensity1990,Popdensity2010,Railways,Roads,croplands1992,croplands2005
egypt,EGY,EGY,africa,north africa,67,0.058452497286081186,5181103.332399408,5181103.497392793,2.5635164146089986,2.667600591485719,3.1929142936303836,3.2953537240252158,0.3647995007021376,0.548603526291153,0.03076075323903067,0.03174546395805546,0.017241379310344827,0.01653924169137151,0.7673584022468404,5181104.115339715,0.06678108909346232,0.9651164033191962,0.06826337962240599,0.04751131221719457
eritrea,ERI,ERI,africa,east africa and adjacent islands,68,0.2132512893367327,27889398.025974028,27889398.025974028,6.043468626087062,7.42447026657553,6.995807556069129,8.36226930963773,0.004155124653739612,0.018005540166204988,0.02728065070555191,0.03432872341022315,1.6842105263157894,1.6412742382271468,3.39196675900277,27889402.206425153,0.027700831024930747,0.8790688783219316,0.029085872576177285,0.15997229916897507
western sahara*,ESH,ESH,africa,north africa,69,0.017008976240335996,1875531.573216885,1875531.576128093,0.9875119626704059,0.8911208151382823,1.771675262155978,1.6745269286754003,0.0026223776223776225,0.006993006993006993,9.040442957139064e-4,9.764321963241311e-4,0.040501165501165504,0.040501165501165504,0.14656177156177155,1875532.49286754,0,0.7940088519023293,0,0
spain,ESP,ESP,europe and central asia,central and western europe,70,0.3600009546253679,9722149.073858492,9722149.348079162,11.325037310767353,11.511447419480016,12.537615268163988,12.718535765101539,1.4498440748440748,1.9573804573804574,0.08520665883220539,0.08520665883220539,0.07822245322245322,0.06795738045738045,3.953612266112266,9722152.080325961,0.5582120582120582,2.354955392639906,1.9601091476091477,2.4485446985446986
estonia,EST,EST,europe and central asia,central and western europe,71,0.30207691903087197,112689736.14257425,112689736.34059405,7.347373018350721,13.333663366336634,8.994185969965336,14.894059405940594,0.33019853709508884,0.8265412748171369,0.18176366546693834,0.18176366546693834,0,0,3.219435736677116,112689738.77623762,0.5182863113897597,2.733007473289157,0.1974921630094044,1.4117032392894462
ethiopia,ETH,ETH,africa,east africa and adjacent islands,72,0.31194939003023914,1124000.714520712,1124000.7175115896,6.325421792243612,6.121878271272618,7.666954139009724,7.459099745775385,0.004638288321986983,0.014139298271863545,0.006564976568309696,0.026933267075794923,0.3908880077803546,0.36851948829206255,3.7607540959078327,1124005.2216988185,0.004787910525922047,1.3252157711823092,0.8310765317573128,1.4118351163312635
finland,FIN,FIN,europe and central asia,central and western europe,73,0.20157660277889422,13283893.653816415,13283893.648293383,5.7065768954487055,6.141941897713465,5.524124892810912,5.959792334032917,0.9456485495165055,1.0173391130376792,0.11663472394431601,0.12057818426880285,0,0,2.0486828942980995,13283894.96984425,0.2943203289985551,1.670635740061634,0.07935978659553185,0
fiji,FJI,FJI,asia and the pacific,oceania,74,0.16712434366147252,456911414.5531915,456911414.5531915,7.84195848196251,35.191489361702125,12.668437745689687,38.90212765957447,0.24864864864864866,0.1891891891891892,0.4422459404577731,0.47788237714561843,0,0,4.556756756756757,456911418.28510636,0.3027027027027027,2.157664956112166,0,4.5027027027027025
falkland islands (the) [malvinas],FLK,FLK,americas,south america,75,0.06654187775188404,204522252.19047618,204522252.19047618,1.5518688616503262,13.2987012987013,2.380680831733612,14.008658008658008,0,0,0.41441789183034017,0.7073446941604573,0,0,0,204522252.19047618,0,1.137450978231202,0,0.5358851674641149
france,FRA,FRA,europe and central asia,central and western europe,76,0.49209630243217695,5541298.637995915,5541298.7401354695,16.90536485115901,16.84969358133534,16.052179548007167,15.998709816148802,2.183895655923251,2.84833459092379,0.10983455899542661,0.10983455899542661,0.03869785490999245,0.2008192303546405,4.86213215479142,5541302.37845393,1.0606877223240272,2.6364271436430737,4.8193381481082245,2.954834537027056
faroe islands (the),FRO,FRO,europe and central asia,central and western europe,77,0.2560022463531871,169538183.2631579,169538182.7368421,12.178809710911342,20.894736842105264,10.778809683663505,19.605263157894736,1.6857142857142857,0.9142857142857143,1.7374891738806453,1.7374891738806453,0,0,4.457142857142857,169538186.97368422,0,3.5270348608493807,0.2,0
micronesia (federated states of),FSM,FSM,asia and the pacific,oceania,78,0.2623109502924813,238609295.33333334,238609294.2222222,12.852304458618164,25.555555555555557,11.852304458618164,24.666666666666668,1.5,1,3.227304479572922,3.227304479572922,0,0,6.875,238609301,0,0,0,0
gabon,GAB,GAB,africa,central africa,79,0.11926586021252804,4161790.0445736432,4161790.051033592,2.4157357772384325,2.400516795865633,2.8741475634093696,2.8549741602067185,0.040453074433656956,0.06537216828478964,0.12309973428213063,0.14429469151086086,0.05145631067961165,0.05145631067961165,0.915210355987055,4161791.44250646,0.025889967637540454,1.1217622565123642,0.1087378640776699,0
united kingdom of great britain and northern ireland (the),GBR,GBR,europe and central asia,central and western europe,80,0.4705385663920023,18531811.25662626,18531810.790219847,22.637099990622367,23.392644339428806,19.92912071252734,20.70803369632217,3.7602072538860103,3.3173056994818655,0.19907517525276394,0.19907517525276394,0.2532642487046632,0.7396891191709845,5.443937823834197,18531814.207314566,0.9533678756476683,6.043413398846443,3.461554404145078,1.1258031088082903
georgia,GEO,GEO,europe and central asia,eastern europe,81,0.3569968126612167,5878148.726277372,5878148.762773722,9.327868201377079,9.31021897810219,10.057968856103903,10.038321167883211,0.18206770356816102,0.2442817932296432,0.1049856357534826,0.1049856357534826,0.5827996340347666,0.34492223238792313,4.769441903019213,5878153.106751825,0.22689844464775846,2.113093012505895,1.293687099725526,2.484903934126258
guernsey,GGY,GGY,europe and central asia,central and western europe,82,0.8187333643436432,10,10,35.424588203430176,35,34.424588203430176,34,9.5,8.5,2.109814688563347,2.109814688563347,0,0,9,9,0,4.814773976802826,0,0
ghana,GHA,GHA,africa,west africa,83,0.4037522731408914,0.06398862424457874,0.06398862424457874,8.128951981912675,7.792392463562034,9.026839058556211,8.683967294703164,0.08709562744400995,0.14077497333807323,0.04142403914079627,0.08221904634157978,0.8748666903661572,0.8172769285460363,4.703519374333452,5.315677212939922,0.07109847138286526,2.0406029693732006,0.24635620334162817,0.4952008531816566
gibraltar,GIB,GIB,europe and central asia,central and western europe,84,NA,2147483648,2147483648,NA,128,NA,128,NA,NA,NA,NA,NA,NA,NA,2147483648,NA,NA,NA,NA
guinea,GIN,GIN,africa,west africa,85,0.2643475644713921,739237.0664371772,739237.0595524957,5.469157071070894,5.2777969018932875,6.37053676618689,6.177624784853701,0.01825068870523416,0.009641873278236915,0.019684624743778977,0.026436224975431268,0.4965564738292011,0.4628099173553719,3.715909090909091,739241.6034423407,0.04132231404958678,0.9164146096971574,0.25068870523415976,0.3615702479338843
guadeloupe,GLP,GLP,americas,caribbean,86,0.4865558296442032,238609296.44444445,238609297,19.159138083457947,30.833333333333332,18.159138023853302,29.944444444444443,3.9375,4.5625,0.3708054674207233,0.3708054674207233,0,0,6.9375,238609300.7222222,0.5,2.288332473486662,2.625,0
gambia (the),GMB,GMB,africa,west africa,87,0.4121015268185782,67108864.078125,67108864.078125,10.39911647381321,13.75,13.44623565289282,16.6796875,0.08870967741935484,0.2661290322580645,0.2723320739560516,0.5452576998876236,1.1451612903225807,0.5,5.314516129032258,67108869.609375,0,2.199365028690907,1.2983870967741935,4.064516129032258
guinea-bissau,GNB,GNB,africa,west africa,88,0.4259098797504391,27252330.583756346,27252330.583756346,7.087872442059162,8.304568527918782,7.925522953195253,9.137055837563452,0.02056555269922879,0.02056555269922879,0.15041863034399977,0.17572980110904554,0.8534704370179949,0.8020565552699229,3.8431876606683804,27252334.992385786,0,2.086554084691413,0.10796915167095116,0.32390745501285345
equatorial guinea,GNQ,GNQ,africa,central africa,89,0.13762362391729585,6860970.153354633,6860970.185303515,5.6354459669345465,5.6900958466453675,6.490717362899047,6.527156549520766,0.057692307692307696,0.10256410256410256,0.03700196774373884,0.14547849232782867,0.00641025641025641,0.00641025641025641,2.926282051282051,6860973.795527156,0.05128205128205128,2.4349824703083587,0.08974358974358974,0
greece,GRC,GRC,europe and central asia,central and western europe,90,0.4288307309124329,46426243.3353444,46426243.4610357,13.647655551887489,15.784816490698844,13.32237291653073,15.466566113624937,1.1639260020554985,1.5585817060637204,0.2874496271036647,0.2874496271036647,0.04316546762589928,0.03442959917780062,4.5102774922918805,46426247.08345903,0.3329907502569373,3.293916095687576,3.435251798561151,2.694244604316547
grenada,GRD,GRD,americas,caribbean,91,0.6309873402118683,0,0,14.436743927001952,13.8,17.83674373626709,17.2,0.4,3.6,1.3651893850415946,1.3651893850415946,0,0,7.8,8,0,4.8715543985366825,0,0
greenland,GRL,GRL,americas,north america,92,3.380251066814578e-5,72859136.0272187,72859136.02732502,0.00795044641871355,4.351557100783601,0.014704475219277346,4.355469788310846,3.5218243049899847e-4,9.905130857784333e-5,0.0020546373771712922,0.00896259733297988,0,0,3.851995333582796e-4,72859136.02758019,0,0.005158252074544716,0,0
